Tanggal,Tn,Tx,Tavg,RH_avg,RR,ff_avg
2018-01-01,25,33.2,28.6,78,46.4,1
2018-01-02,26,33.6,29.8,69,0,1
2018-01-03,27,31.2,28.4,77,0,1
2018-01-04,26,33.8,29.3,75,1,1
2018-01-05,27,30.8,28.9,68,0.5,3
2018-01-06,26,32.8,28.9,69,0,3
2018-01-07,26,30.4,28.8,75,8888,1
2018-01-08,27,32.2,28.6,74,0,2
2018-01-09,27,30.6,28.4,76,0,2
2018-01-10,25,31.6,28.3,73,8888,2
2018-01-11,25,32.4,28.4,72,0,2
2018-01-12,26,30.6,28.1,73,8888,3
2018-01-13,27,31,29.1,65,0,2
2018-01-14,24,29.8,26.2,83,14.3,2
2018-01-15,23,30,25.8,85,14.5,1
2018-01-16,24,30.8,27.4,72,21.8,2
2018-01-17,25,30.2,27.7,76,8888,2
2018-01-18,25,27.6,25.5,91,8888,1
2018-01-19,24,29.2,26.3,82,44.7,3
2018-01-20,24,31.2,26.8,81,3.2,2
2018-01-21,25,32,28.1,76,8.2,3
2018-01-22,25,29,26.8,81,1,2
2018-01-23,25,31,27.7,79,5.9,2
2018-01-24,26,30.2,27.3,82,6.3,2
2018-01-25,24,30.6,27,74,22.2,3
2018-01-26,25,31.4,28.6,70,0,2
2018-01-27,24,30.4,27.8,75,4.5,2
2018-01-28,25,29.4,26.5,81,2.4,2
2018-01-29,24,31,26.8,80,4,2
2018-01-30,25,30.8,27.4,80,11,2
2018-01-31,25,31.6,27.7,79,3.5,2
2018-02-01,25,31,27.4,82,2.5,1
2018-02-02,26,32.4,28.6,76,2.5,1
2018-02-03,24,30,27.4,78,50.7,1
2018-02-04,24,29.8,27.3,86,33,2
2018-02-05,24,28.8,25.9,85,66,1
2018-02-06,23,28.6,26,87,44,2
2018-02-07,24,29,26,85,12.1,1
2018-02-08,25,29.8,26.9,84,5,2
2018-02-09,25,29.2,26.6,86,8.3,2
2018-02-10,25,30,27.3,77,5.4,2
2018-02-11,25,30,27.2,83,0,2
2018-02-12,24,29.4,27.2,81,18.6,3
2018-02-13,25,30,27.9,76,7,2
2018-02-14,26,29.8,27.2,82,8888,1
2018-02-15,26,26.6,25.6,89,3.2,1
2018-02-16,24,31,27.2,83,104.6,2
2018-02-17,25,29.8,27.1,81,0,2
2018-02-18,25,31.4,27.3,79,2.8,2
2018-02-19,25,31,27.1,90,1,1
2018-02-20,25,31,27.6,83,2,1
2018-02-21,25,31.4,27.5,82,1.2,1
2018-02-22,26,29,27.3,84,1.2,1
2018-02-23,26,30,27.7,80,0,2
2018-02-24,25,30.8,27.6,79,0,2
2018-02-25,25,30.4,27.5,83,5,2
2018-02-26,25,29.6,27,84,19.1,2
2018-02-27,25,31.2,27.7,83,32.2,2
2018-02-28,0,30.4,27,84,3.8,1
2018-03-01,26,30.6,27.6,86,2.4,1
2018-03-02,25,31.6,27.8,81,0.2,1
2018-03-03,25,31,28.7,84,0,2
2018-03-04,25,31.4,28.3,80,4.5,1
2018-03-05,25,30.8,27.4,80,3,2
2018-03-06,25,30,27.8,83,0,1
2018-03-07,26,32.8,27.9,80,5.5,2
2018-03-08,25,31,27.7,82,8,1
2018-03-09,26,30.8,28.1,80,0.4,2
2018-03-10,25,30.4,27.9,82,26.2,1
2018-03-11,26,31.8,28,84,1.6,2
2018-03-12,26,30,27.9,81,16.4,2
2018-03-13,26,29.6,27.5,79,8888,2
2018-03-14,27,30.8,28.4,76,0,1
2018-03-15,26,32.8,28.8,79,1,1
2018-03-16,25,31.6,28.6,77,0,1
2018-03-17,26,29.4,26.3,88,8888,1
2018-03-18,24,31.6,27.3,81,36.6,1
2018-03-19,24,31.6,27.8,81,51,2
2018-03-20,25,32.4,27.3,83,2,1
2018-03-21,26,29.6,27.6,75,1.2,2
2018-03-22,26,30.4,27.3,80,0,1
2018-03-23,25,30.6,27.6,80,8.4,1
2018-03-24,26,30,27.4,79,0,2
2018-03-25,24,33.6,28.2,74,8888,1
2018-03-26,25,32.4,28.1,80,8.6,2
2018-03-27,26,32.2,27.1,82,0,1
2018-03-28,24,31.6,27.9,75,13.4,2
2018-03-29,25,33.4,28,76,8888,2
2018-03-30,25,33,28.8,73,11.6,2
2018-03-31,26,34.2,29.9,71,0,2
2018-04-01,27,32.6,29.6,74,0,1
2018-04-02,26,32,28.6,76,0,1
2018-04-03,25,32,28,81,4,1
2018-04-04,24,33,27.5,79,52.3,1
2018-04-05,24,32.2,28.9,77,0,2
2018-04-06,25,33.2,28.4,81,1,1
2018-04-07,26,33.6,29.6,74,0,2
2018-04-08,26,32.2,28,78,7.5,2
2018-04-09,24,31.2,27.5,82,3.6,1
2018-04-10,25,33.6,29.3,73,0,1
2018-04-11,27,33.6,29.7,73,0,1
2018-04-12,27,33.4,29.7,74,0,2
2018-04-13,27,34.4,30.1,76,0,2
2018-04-14,27,32.8,29.6,79,8888,1
2018-04-15,27,32.2,29.6,76,8888,1
2018-04-16,27,32.4,29.3,74,0,1
2018-04-17,27,30.8,28.6,79,0,1
2018-04-18,27,31.8,28.6,79,9,1
2018-04-19,27,31.4,29.1,77,0,1
2018-04-20,27,32.4,28.8,79,4.1,1
2018-04-21,27,32,29.1,77,0,1
2018-04-22,27,32.6,29.4,74,0,1
2018-04-23,26,28.4,26.6,91,10.2,0
2018-04-24,25,30,27.2,87,18.3,1
2018-04-25,26,28,26.1,91,1.5,1
2018-04-26,25,29.4,26.5,89,15.8,1
2018-04-27,25,32.4,28.7,77,1.9,1
2018-04-28,26,34.4,29.3,75,1.4,1
2018-04-29,26,32.4,28.8,81,28.5,1
2018-04-30,26,34.2,28.7,74,0,2
2018-05-01,26,32.6,29.1,72,0,2
2018-05-02,26,33,28.9,72,0,1
2018-05-03,25,32.2,28.5,76,0,1
2018-05-04,26,33.4,29.4,73,7.8,1
2018-05-05,27,34,29.8,72,0,1
2018-05-06,27,34.2,30.1,70,0,1
2018-05-07,25,34.4,30,67,0,2
2018-05-08,27,34.2,29.7,71,0,2
2018-05-09,27,34.4,30.2,69,0,1
2018-05-10,27,34.2,30.1,66,0,2
2018-05-11,26,34,29.6,69,0,2
2018-05-12,26,33.8,29.1,70,0,1
2018-05-13,27,34.4,30.2,70,0,1
2018-05-14,28,34.4,30.5,67,0,1
2018-05-15,26,34.2,29.3,74,0,1
2018-05-16,27,34,30.1,73,0,1
2018-05-17,28,32,29.2,76,0,0
2018-05-18,27,33.8,29.5,75,0,1
2018-05-19,26,32,28.6,78,0,2
2018-05-20,27,32.4,29.1,75,0,1
2018-05-21,27,32.8,29.3,75,0,1
2018-05-22,27,34.6,29.9,73,0,1
2018-05-23,26,31.8,28.2,81,1.5,1
2018-05-24,26,33.4,28.9,77,5.5,1
2018-05-25,26,31,28.1,82,0.7,1
2018-05-26,26,34.4,29.5,79,1,1
2018-05-27,27,33,29.3,73,0,1
2018-05-28,27,32.6,29.3,78,0,1
2018-05-29,27,33.4,29.2,76,0,2
